index,Sku,Catalog,Category,Weight,TP,MRP Old,Final MRP Old,Ajio MRP,Amazon MRP,Amazon FBA MRP,Flipkart MRP,Limeroad MRP,Myntra MRP,Paytm MRP,Snapdeal MRP
1088,OS277KR_L,Mix,Kurta,0.3,440,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295
1089,OS277KR_XL,Mix,Kurta,0.3,440,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295
1090,OS277KR_2XL,Mix,Kurta,0.3,440,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295
1091,OS277KR_3XL,Mix,Kurta,0.3,440,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295
1092,OS276_S,Mix,Kurta Set,0.4,695,3495,3495,3495,3495,3495,3495,3495,3195,3495,3495
1093,OS276_M,Mix,Kurta Set,0.4,695,3495,3495,3495,3495,3495,3495,3495,3195,3495,3495
1094,OS276_L,Mix,Kurta Set,0.4,695,3495,3495,3495,3495,3495,3495,3495,3195,3495,3495
1095,OS276_XL,Mix,Kurta Set,0.4,695,3495,3495,3495,3495,3495,3495,3495,3195,3495,3495
1096,OS276_2XL,Mix,Kurta Set,0.4,695,3495,3495,3495,3495,3495,3495,3495,3195,3495,3495
1097,OS276_3XL,Mix,Kurta Set,0.4,695,3495,3495,3495,3495,3495,3495,3495,3195,3495,3495
1098,OS276KR_S,Mix,Kurta,0.3,490,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495
1099,OS276KR_M,Mix,Kurta,0.3,490,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495
1100,OS276KR_L,Mix,Kurta,0.3,490,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495
1101,OS276KR_XL,Mix,Kurta,0.3,490,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495
1102,OS276KR_2XL,Mix,Kurta,0.3,490,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495
1103,OS276KR_3XL,Mix,Kurta,0.3,490,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495
1104,OS312_S,Mix,Kurta Set,0.4,635,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
1105,OS312_M,Mix,Kurta Set,0.4,635,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
1106,OS312_L,Mix,Kurta Set,0.4,635,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
1107,OS312_XL,Mix,Kurta Set,0.4,635,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
1108,OS312_2XL,Mix,Kurta Set,0.4,635,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
1109,OS312_3XL,Mix,Kurta Set,0.4,635,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
1110,OS312KR_S,Mix,Kurta,0.3,2095,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
1111,OS312KR_M,Mix,Kurta,0.3,2095,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
1112,OS312KR_L,Mix,Kurta,0.3,2095,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
1113,OS312KR_XL,Mix,Kurta,0.3,2095,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
1114,OS312KR_2XL,Mix,Kurta,0.3,2095,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
1115,OS312KR_3XL,Mix,Kurta,0.3,2095,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
1116,OS309_S,Mix,Kurta,0.3,415,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097
1117,OS309_M,Mix,Kurta,0.3,415,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097
1118,OS309_L,Mix,Kurta,0.3,415,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097
1119,OS309_XL,Mix,Kurta,0.3,415,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097
1120,OS309_2XL,Mix,Kurta,0.3,415,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097
1121,OS309_3XL,Mix,Kurta,0.3,415,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097
1122,OS280_S,Mix,Kurta Set,0.4,650,3297,3297,3297,3297,3297,3297,3297,3297,3297,3297
1123,OS280_M,Mix,Kurta Set,0.4,650,3297,3297,3297,3297,3297,3297,3297,3297,3297,3297
1124,OS280_L,Mix,Kurta Set,0.4,650,3297,3297,3297,3297,3297,3297,3297,3297,3297,3297
1125,OS280_XL,Mix,Kurta Set,0.4,650,3297,3297,3297,3297,3297,3297,3297,3297,3297,3297
1126,OS280_2XL,Mix,Kurta Set,0.4,650,3297,3297,3297,3297,3297,3297,3297,3297,3297,3297
1127,OS280_3XL,Mix,Kurta Set,0.4,650,3297,3297,3297,3297,3297,3297,3297,3297,3297,3297
1128,OS280KR_S,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1129,OS280KR_M,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1130,OS280KR_L,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1131,OS280KR_XL,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1132,OS280KR_2XL,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1133,OS280KR_3XL,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1134,OS279_S,Mix,Kurta Set,0.4,625,3197,3197,3197,3197,3197,3197,3197,2995,3197,3197
1135,OS279_M,Mix,Kurta Set,0.4,625,3197,3197,3197,3197,3197,3197,3197,2995,3197,3197
1136,OS279_L,Mix,Kurta Set,0.4,625,3197,3197,3197,3197,3197,3197,3197,2995,3197,3197
1137,OS279_XL,Mix,Kurta Set,0.4,625,3197,3197,3197,3197,3197,3197,3197,2995,3197,3197
1138,OS279_2XL,Mix,Kurta Set,0.4,625,3197,3197,3197,3197,3197,3197,3197,2995,3197,3197
1139,OS279_3XL,Mix,Kurta Set,0.4,625,3197,3197,3197,3197,3197,3197,3197,2995,3197,3197
1140,OS279KR_S,Mix,Kurta,0.3,400,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
1141,OS279KR_M,Mix,Kurta,0.3,400,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
1142,OS279KR_L,Mix,Kurta,0.3,400,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
1143,OS279KR_XL,Mix,Kurta,0.3,400,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
1144,OS279KR_2XL,Mix,Kurta,0.3,400,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
1145,OS279KR_3XL,Mix,Kurta,0.3,400,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
1146,OS283_S,Mix,Kurta,0.3,425,2197,2197,2197,2197,2197,2197,2197,2197,2197,2197
1147,OS283_M,Mix,Kurta,0.3,425,2197,2197,2197,2197,2197,2197,2197,2197,2197,2197
1148,OS283_L,Mix,Kurta,0.3,425,2197,2197,2197,2197,2197,2197,2197,2197,2197,2197
1149,OS283_XL,Mix,Kurta,0.3,425,2197,2197,2197,2197,2197,2197,2197,2197,2197,2197
1150,OS283_2XL,Mix,Kurta,0.3,425,2197,2197,2197,2197,2197,2197,2197,2197,2197,2197
1151,OS283_3XL,Mix,Kurta,0.3,425,2197,2197,2197,2197,2197,2197,2197,2197,2197,2197
1152,OS294_S,Mix,Kurta Set,0.4,595,2975,2975,2975,2997,2997,2975,2975,2895,2975,2975
1153,OS294_M,Mix,Kurta Set,0.4,595,2975,2975,2975,2997,2997,2975,2975,2895,2975,2975
1154,OS294_L,Mix,Kurta Set,0.4,595,2975,2975,2975,2997,2997,2975,2975,2895,2975,2975
1155,OS294_XL,Mix,Kurta Set,0.4,595,2975,2975,2975,2997,2997,2975,2975,2895,2975,2975
1156,OS294_2XL,Mix,Kurta Set,0.4,595,2975,2975,2975,2997,2997,2975,2975,2895,2975,2975
1157,OS294_3XL,Mix,Kurta Set,0.4,595,2975,2975,2975,2997,2997,2975,2975,2895,2975,2975
1158,OS294KR_S,Mix,Kurta,0.3,410,2095,2095,2095,2095,2095,2095,2095,2095,2095,2095
1159,OS294KR_M,Mix,Kurta,0.3,410,2095,2095,2095,2095,2095,2095,2095,2095,2095,2095
1160,OS294KR_L,Mix,Kurta,0.3,410,2095,2095,2095,2095,2095,2095,2095,2095,2095,2095
1161,OS294KR_XL,Mix,Kurta,0.3,410,2095,2095,2095,2095,2095,2095,2095,2095,2095,2095
1162,OS294KR_2XL,Mix,Kurta,0.3,410,2095,2095,2095,2095,2095,2095,2095,2095,2095,2095
1163,OS294KR_3XL,Mix,Kurta,0.3,410,2095,2095,2095,2095,2095,2095,2095,2095,2095,2095
1164,OS307_S,Mix,Kurta Set,0.4,650,3297,3297,3297,3297,3297,3297,3297,3297,3297,3297
1165,OS307_M,Mix,Kurta Set,0.4,650,3297,3297,3297,3297,3297,3297,3297,3297,3297,3297
1166,OS307_L,Mix,Kurta Set,0.4,650,3297,3297,3297,3297,3297,3297,3297,3297,3297,3297
1167,OS307_XL,Mix,Kurta Set,0.4,650,3297,3297,3297,3297,3297,3297,3297,3297,3297,3297
1168,OS307_2XL,Mix,Kurta Set,0.4,650,3297,3297,3297,3297,3297,3297,3297,3297,3297,3297
1169,OS307_3XL,Mix,Kurta Set,0.4,650,3297,3297,3297,3297,3297,3297,3297,3297,3297,3297
1170,OS307KR_S,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1171,OS307KR_M,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
